sessionId,kwhTotal,dollars,created,ended,startTime,endTime,chargeTimeHrs,weekday,platform,distance,userId,stationId,locationId,managerVehicle,facilityType,Mon,Tues,Wed,Thurs,Fri,Sat,Sun,reportedZip,created_fixed,created_parsed,date_only,chargingCategory
1366563,7.78,0.0,0014-11-18 15:40:26,0014-11-18 17:11:04,15,17,1.510555556,Tue,android,,35897499,582873,461655,0,3,0,1,0,0,0,0,0,0,2014-11-18 15:40:26,2014-11-18 15:40:26,2014-11-18,Medium
3075723,9.74,0.0,0014-11-19 17:40:26,0014-11-19 19:51:04,17,19,2.177222222,Wed,android,,35897499,549414,461655,0,3,0,0,1,0,0,0,0,0,2014-11-19 17:40:26,2014-11-19 17:40:26,2014-11-19,Medium
4228788,6.76,0.58,0014-11-21 12:05:46,0014-11-21 16:46:04,12,16,4.671666667,Fri,android,,35897499,129465,461655,0,3,0,0,0,0,1,0,0,0,2014-11-21 12:05:46,2014-11-21 12:05:46,2014-11-21,Slow
3173284,6.17,0.0,0014-12-03 19:16:12,0014-12-03 21:02:18,19,21,1.768333333,Wed,android,,35897499,569889,461655,0,3,0,0,1,0,0,0,0,0,2014-12-03 19:16:12,2014-12-03 19:16:12,2014-12-03,Medium
3266500,0.93,0.0,0014-12-11 20:56:11,0014-12-11 21:14:06,20,21,0.298611111,Thu,android,,35897499,414088,566549,0,3,0,0,0,1,0,0,0,0,2014-12-11 20:56:11,2014-12-11 20:56:11,2014-12-11,Fast
4099366,2.14,0.0,0014-12-12 14:38:44,0014-12-12 15:04:04,14,15,0.422222222,Fri,android,,35897499,911231,202527,0,3,0,0,0,0,1,0,0,0,2014-12-12 14:38:44,2014-12-12 14:38:44,2014-12-12,Fast
5084244,0.3,0.0,0014-12-12 15:08:40,0014-12-12 15:47:04,15,15,0.64,Fri,android,,35897499,920264,461655,0,3,0,0,0,0,1,0,0,0,2014-12-12 15:08:40,2014-12-12 15:08:40,2014-12-12,Fast
2948436,1.82,0.0,0014-12-17 20:30:25,0014-12-17 21:31:04,20,21,1.010833333,Wed,android,,35897499,431796,461655,0,3,0,0,1,0,0,0,0,0,2014-12-17 20:30:25,2014-12-17 20:30:25,2014-12-17,Medium
3515913,0.81,0.0,0014-12-18 17:53:19,0014-12-18 18:04:04,17,18,0.179166667,Thu,android,,35897499,134427,620906,0,3,0,0,0,1,0,0,0,0,2014-12-18 17:53:19,2014-12-18 17:53:19,2014-12-18,Fast
8490014,1.98,0.0,0014-12-18 18:06:49,0014-12-18 18:30:05,18,18,0.387777778,Thu,android,,35897499,207262,928191,0,3,0,0,0,1,0,0,0,0,2014-12-18 18:06:49,2014-12-18 18:06:49,2014-12-18,Fast
7075912,4.56,0.0,0014-12-18 18:31:54,0014-12-18 20:57:04,18,20,2.419444444,Thu,android,,35897499,280221,976902,0,3,0,0,0,1,0,0,0,0,2014-12-18 18:31:54,2014-12-18 18:31:54,2014-12-18,Medium
5226095,2.05,0.0,0014-12-19 14:30:37,0014-12-19 15:12:04,14,15,0.690833333,Fri,android,,35897499,371335,461655,0,3,0,0,0,0,1,0,0,0,2014-12-19 14:30:37,2014-12-19 14:30:37,2014-12-19,Fast
7093670,5.61,0.0,0014-11-18 15:01:17,0014-11-18 18:26:04,15,18,3.413055556,Tue,ios,20.695727,30828105,632920,461655,0,3,0,1,0,0,0,0,0,1,2014-11-18 15:01:17,2014-11-18 15:01:17,2014-11-18,Slow
3730551,9.03,0.0,0014-11-19 19:01:41,0014-11-19 22:10:06,19,22,3.140277778,Wed,ios,20.695727,30828105,569889,461655,0,3,0,0,1,0,0,0,0,1,2014-11-19 19:01:41,2014-11-19 19:01:41,2014-11-19,Slow
7080329,6.95,0.0,0014-11-20 19:20:45,0014-11-20 21:48:04,19,21,2.455277778,Thu,ios,20.695727,30828105,612116,461655,0,3,0,0,0,1,0,0,0,1,2014-11-20 19:20:45,2014-11-20 19:20:45,2014-11-20,Medium
3829635,7.38,0.0,0014-11-21 19:02:04,0014-11-21 21:31:03,19,21,2.483055556,Fri,ios,20.695727,30828105,549414,461655,0,3,0,0,0,0,1,0,0,1,2014-11-21 19:02:04,2014-11-21 19:02:04,2014-11-21,Medium
6139758,6.69,0.0,0014-11-24 17:16:19,0014-11-24 19:31:04,17,19,2.245833333,Mon,ios,20.695727,30828105,129465,461655,0,3,1,0,0,0,0,0,0,1,2014-11-24 17:16:19,2014-11-24 17:16:19,2014-11-24,Medium
2654056,6.96,0.67,0014-11-25 16:57:46,0014-11-25 21:42:04,16,21,4.738333333,Tue,ios,20.695727,30828105,129465,461655,0,3,0,1,0,0,0,0,0,1,2014-11-25 16:57:46,2014-11-25 16:57:46,2014-11-25,Slow
7390629,6.86,0.0,0014-12-01 18:05:30,0014-12-01 21:40:19,18,21,3.580277778,Mon,ios,20.695727,30828105,129465,461655,0,3,1,0,0,0,0,0,0,1,2014-12-01 18:05:30,2014-12-01 18:05:30,2014-12-01,Slow
5669861,7.1,0.0,0014-12-02 17:24:49,0014-12-02 21:08:17,17,21,3.724444444,Tue,ios,20.695727,30828105,371335,461655,0,3,0,1,0,0,0,0,0,1,2014-12-02 17:24:49,2014-12-02 17:24:49,2014-12-02,Slow
3025002,4.66,0.0,0014-12-15 12:54:19,0014-12-15 16:05:06,12,16,3.179722222,Mon,ios,20.695727,30828105,371335,461655,0,3,1,0,0,0,0,0,0,1,2014-12-15 12:54:19,2014-12-15 12:54:19,2014-12-15,Slow
7371202,8.31,0.0,0014-12-17 17:25:19,0014-12-17 21:15:08,17,21,3.830277778,Wed,ios,20.695727,30828105,371335,461655,0,3,0,0,1,0,0,0,0,1,2014-12-17 17:25:19,2014-12-17 17:25:19,2014-12-17,Slow
5767563,6.64,0.0,0014-12-18 14:04:45,0014-12-18 16:16:04,14,16,2.188611111,Thu,ios,20.695727,30828105,549414,461655,0,3,0,0,0,1,0,0,0,1,2014-12-18 14:04:45,2014-12-18 14:04:45,2014-12-18,Medium
